review,rating,recommended,sentiment,review_length,sentiment_score,purchase_label
"Look at this product as a portable speaker first and an Echo replacement second. The big reason to buy this over standard Bluetooth speakers is this has WiFi streaming enabled. When you are at home you can stream music with ease to it. Voice recognition is top notch and it really shines when using it with other smart home accessories. The only problem is having to tap the microphone button for it to listen to your voice. If you want bigger sound and always listening features, spend the extra money on the Amazon Echo.",5.0,True,positive,94,1,1
"This Amazon tap is not only a great Bluetooth speaker, which is half of the reason I bought it for. But it also has some awesome voice control. I bought a wemo switch, plugged it into an old lamp, setup some commands with ittt, and in 5 minutes I was using my Amazon tap to control a lamp. Pretty cool. I love this Amazon tap it is light, portable, smart, has a great dock so I don't have to fuss with cables, and it has a 9 hour battery life, so I can go all day playing music.Being a Google play music subscriber The only thing missing from this speaker IMO, is a way to wirelessly stream my Google play music to this device using Alexa that is built in. You can use iHeartRadio, Pandora, Spotify, prime music, heck even Apple iTunes got some love, but no Google play music. Come on Amazon show me some love. I pay 15 dollars a month for a family plan which gives me and 5 family members access to Google play music and YouTube red. So it would be nice to use it on my tap. But alas the Amazon tap is a Bluetooth speaker so I can always use my phone as a streaming device, or hook my phone up through the aux port as well. But all in all this is a great speaker, that can do everything any Bluetooth speaker on the market can do plus a little bit extra.",5.0,True,positive,250,1,1
"Bought this on Deal of the Day which surprised me since it is new to Best Buy. Just push the button and ask ""her"" to do something such as play favorite radio station or music from play list. Have ""her"" set timers and alarms to wake by. I haven't used half of the features of TAP. The sound is amazingly great for such a small device.",5.0,True,positive,66,1,1
Amazing Sound! All around great product! Nothing negative so far.,5.0,True,positive,10,1,1
I have owned the Echo for about a year now and enjoy the features it provides. Although the Tap doesn't have the hands free feature of the Echo I like its portability. I'm able to take it outdoors at home and using the WiFi play music or even use the other features available by just asking Alexa. The unit is well built and I really like the charging cradle provided.,5.0,True,positive,70,1,1
"I really like my Tap very much. It great when it's connected. Reads me news, weather, plays music and can purchase items from Amazon That being said, I do have some connectivity problems while on wifi. I don't want to say that it's the taps fault as it may be my wifi. I don't regret my purchase. It has great sounds and recognizes my voice commands well.",4.0,True,positive,67,1,1
"I have owned three versions of the amazon echo: the original, the dot, and the tap. This is the most versatile of the three. The wireless recharging is great. The sound is not as good as the original, but the portability makes up for this. At $79 it was a fantastic buy.",5.0,True,positive,52,1,1
I use this speaker daily and love the sound quality and its ability to be independant of my phone/tablet unlike normal Bluetooth speakers that require your phone to play music even if they have the same sound quality.,5.0,True,positive,38,1,1
"I got it on a pretty good sale... so I feel it was worth it. The sound is good, I like that it's portable and rechargeable. I think it is best if you have a prime account so you have access to the prime music.",5.0,True,positive,45,1,1
"I have a regular echo and now the tap. Both awesome products, use them to control lights, locks, and play music. Would buy again.",5.0,True,positive,24,1,1
great sound easily portable around the house both inside and outside. the option to have it automatically respond without pushing the button was a surprise but a welcome one!,5.0,True,positive,29,1,1
"I wanted to buy a Tap when it was first released. I have several Echo's in the house, but having a portable Alexa enabled device is awesome. Unfortunately, when it was first released, the tap could not be operated hands-free. I held off purchasing one because I was afraid Amazon would wait for new hardware to add that feature.Earlier this year Amazon enabled hands-free mode, and it works almost as well as the Echo, despite having fewer microphones.Sound quality is very good. It's a small speaker but very capable. Battery life is excellent. This is currently the most flexible implementation of Alexa and I recommend it.",5.0,True,positive,106,1,1
Was a little difficult to sync the first time. I really have only used the Tap to play music and to ask for the weather. I like that the device takes up little space in my kitchen.,4.0,True,positive,37,1,1
I have a few top end Bluetooth speakers and this Amazon tap rates right up with them in sound and built quality plus it has alexa built in,5.0,True,positive,28,1,1
We now have one for everyone in the family and no longer share. I would have no problem recommending this to a friend.,5.0,True,positive,23,1,1
Great product for intro to an AI device. Cant wait to upgrade to echo.,5.0,True,positive,14,1,1
"The more I use this, the more reasons I enjoy it. The staff were great and helped me set it up.",4.0,True,positive,21,1,1
got as a gift. Might not have got for my self- but love it and glad I had a birthday - lol,4.0,True,positive,22,1,1
"I bought 1 of everything. Like this one the best. VERY good sound, grab it off the base and take it to another room or outside and enjoy the music.",5.0,True,positive,30,1,1
"Was excited to get this product for its sheer portability alone (doesn't need to be plugged into an electrical outlet all the time like we have to do with our Echo Dot), but was pleasantly surprised with the sound quality and volume! We prefer this over our outdoor bluetooth speaker, and its ""Hands-Free"" mode is a great updated feature (though we try not to keep it on that setting too long because it does drain the battery faster)...",5.0,True,positive,78,1,1
"I have the Amazon dot, which is great. But after purchasing the tap, which was on sale too, I was sold. You can take it any where. And the sound is great!!!",5.0,True,positive,32,1,1
"I will rate this Amazon Tap a five stars when the application to make the Alexa commands become remote, instead of manually pressing the command button on the unit itself.",4.0,True,positive,30,1,1
Already have a few other Alexas. Wanted on to be portable around the house without having to plug in or connect to another speaker. Works as expected.,5.0,True,positive,27,1,1
Enjoying the product and feel the ease of use is good.,5.0,True,positive,11,1,1
Just really thought it would have been more useful without having to have to make additional purchases for music I like.,2.0,False,negative,21,-1,0
Looking for a radio for the kitchen this works great the more you use it the smarter it gets,5.0,True,positive,19,1,1
"I love this product , so nice to have for trips!!!",5.0,True,positive,11,1,1
"Picked this up to have a portable option for playing music in the garage. Love that it's battery powered. Never had an issue of it running out of juice. The only issue I have is with the mics, it doesn't respond to your voice as well as the Echo or Dot. Then again it wasn't really designed to listen for the Alexa command since it originally required you to ""tap"" the speaker to get it to listen.",4.0,True,positive,77,1,1
Pleased with all the features. Amazon did another fantastic job with bringing great sound inna small package.,5.0,True,positive,17,1,1
If you want to listen to music you will have to sign for Amazon unlimited or Prime which is very expensive. Pandora does not work too well with this device as it does with Google Home.,4.0,True,positive,36,1,1
Great concept but speaker not so good at full volume. And maybe better now with the updates,4.0,True,positive,17,1,1
This item was very easy to use from the very beginning and was very responsive to my request and commands. I like the fact that you can also add other items to work with it,5.0,True,positive,35,1,1
This is one of the coolest new inventions around. It is very innovative and works great. It's really neat asking Alexa to play different songs and telling it you are bored.,5.0,True,positive,31,1,1
The Amazon Tap is a great addition to my Smarthome system. We particularly like that we can move it from room to room without AC attached & the battery lasts a long time. We even take it outside to listen to music from Amazon Prime and Spotify. We recommend it highly.,5.0,True,positive,51,1,1
"Best sounding Amazon speaker hands down. The only annoyance is that it beeps after the ""Alexa"" wake word and after the command, unlike the other echos I have with no obvious way to turn this off. Other than that, sounds great and can take with you pretty well anywhere....",5.0,True,positive,49,1,1
I habe the echo and I bought this one fort my son's room but it's not as user friendly. I wish I would've just bought the other one.,2.0,False,negative,28,-1,0
Great value and quality speaker that also connects to the information highway.,5.0,True,positive,12,1,1
I bought this as a gift for my father. He absolutely loves it!!,5.0,True,positive,13,1,1
I ordered this and actually came in earlier than predicted and it works beautiful! I'm totally happy with my purchase!!!,5.0,True,positive,20,1,1
"This little speaker has quickly become a family favorite for portability and music streaming. My kids have quickly learned that Alexa is their personal DJ when hooked up to the Amazon Prime Unlimited Music program. Battery life is great and sound quality is adequate for our purposes. Some audiophiles might not like the lack of bass, but it does the job for our family.",5.0,True,positive,64,1,1
"I wouldn't buy it again...the software doesn't seem as well integrated with the hardware on this machine. I also have an Echo and I don't have the same connectivity issues with it that I do with this. I liked the features available with this...portability mainly with a long battery life, but with plagued by connectivity issues I can't say I would recommend it. I have looked at reviews online since purchasing and have discovered I am not the only one that feels this way. The sound, when it is connected and responding, is amazing.",3.0,False,neutral,94,0,0
We bought this Amazon Tap Bluetooth and wifi wireless speaker for my brother. He loves it! He can play his fave tunes by the pool and it really holds a charge for hours of wireless listening.,5.0,True,positive,36,1,1
"The echo is great for music, weather, and anything else you have integrated in the house.",5.0,True,positive,16,1,1
Good product works amazing . Works awesome from home .,5.0,True,positive,10,1,1
"I couldn't decide on which one to buy. They all do the same things, but ended up buying the tap which is portable. I take it on my deck with a cup of coffee and listen to the music I put in through pandora and iheart radio. I absolutely love it, and so does my husband.",5.0,True,positive,56,1,1
